OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
224,127604,2939,1562,817,201,4,269,5,12,69,2241,1052,728,164,3,229,5,10,50,1204,1137,67,Tract: 1276.04\nTotal Population: 2939,navigatela/reports/census_tracts_2010.cfm?PK=127604
225,127605,3549,2579,504,208,5,206,2,8,37,2501,1728,423,147,3,169,2,3,26,1117,1062,55,Tract: 1276.05\nTotal Population: 3549,navigatela/reports/census_tracts_2010.cfm?PK=127605
226,127606,3164,1925,766,168,8,224,2,15,56,2356,1302,676,137,8,184,2,11,36,1107,1042,65,Tract: 1276.06\nTotal Population: 3164,navigatela/reports/census_tracts_2010.cfm?PK=127606
227,127711,3356,1854,1059,147,11,210,5,15,55,2533,1297,892,117,11,167,5,7,37,1187,1114,73,Tract: 1277.11\nTotal Population: 3356,navigatela/reports/census_tracts_2010.cfm?PK=127711
228,127712,2991,1785,737,182,6,224,6,4,47,2257,1244,643,150,6,180,6,4,24,1166,1060,106,Tract: 1277.12\nTotal Population: 2991,navigatela/reports/census_tracts_2010.cfm?PK=127712
229,127803,4037,2633,854,144,6,314,1,13,72,2978,1797,739,116,5,269,1,8,43,1379,1263,116,Tract: 1278.03\nTotal Population: 4037,navigatela/reports/census_tracts_2010.cfm?PK=127803
230,127804,3933,2001,1103,269,12,451,1,9,87,2999,1360,973,217,12,370,1,7,59,1546,1425,121,Tract: 1278.04\nTotal Population: 3933,navigatela/reports/census_tracts_2010.cfm?PK=127804
231,127805,3768,2274,1042,162,8,224,1,11,46,2923,1600,953,133,7,190,1,8,31,1202,1136,66,Tract: 1278.05\nTotal Population: 3768,navigatela/reports/census_tracts_2010.cfm?PK=127805
232,127806,3447,2096,810,199,9,264,8,13,48,2639,1516,684,157,8,226,8,6,34,1263,1200,63,Tract: 1278.06\nTotal Population: 3447,navigatela/reports/census_tracts_2010.cfm?PK=127806
233,127910,4769,3201,964,238,1,247,5,52,61,3501,2222,826,184,1,205,4,11,48,1569,1454,115,Tract: 1279.10\nTotal Population: 4769,navigatela/reports/census_tracts_2010.cfm?PK=127910
234,127920,4100,2237,1385,113,4,243,12,13,93,3073,1548,1144,97,3,199,8,8,66,1312,1244,68,Tract: 1279.20\nTotal Population: 4100,navigatela/reports/census_tracts_2010.cfm?PK=127920
235,128101,3738,1775,1571,119,1,171,12,30,59,2796,1244,1250,87,1,149,7,13,45,1262,1211,51,Tract: 1281.01\nTotal Population: 3738,navigatela/reports/census_tracts_2010.cfm?PK=128101
236,128102,4795,3265,871,277,10,288,6,13,65,3536,2232,742,232,8,255,6,9,52,1475,1387,88,Tract: 1281.02\nTotal Population: 4795,navigatela/reports/census_tracts_2010.cfm?PK=128102
237,128210,4822,3814,533,213,11,182,2,18,49,3411,2588,452,165,8,149,2,8,39,1541,1429,112,Tract: 1282.10\nTotal Population: 4822,navigatela/reports/census_tracts_2010.cfm?PK=128210
238,128220,3011,1340,1353,124,3,136,1,12,42,2337,939,1144,97,3,110,1,7,36,1205,1131,74,Tract: 1282.20\nTotal Population: 3011,navigatela/reports/census_tracts_2010.cfm?PK=128220
239,128302,4688,3648,610,183,10,169,1,21,46,3429,2539,543,158,9,137,1,10,32,1488,1382,106,Tract: 1283.02\nTotal Population: 4688,navigatela/reports/census_tracts_2010.cfm?PK=128302
240,128303,3982,3402,289,106,10,134,0,12,29,2811,2360,229,77,9,111,0,4,21,1127,1056,71,Tract: 1283.03\nTotal Population: 3982,navigatela/reports/census_tracts_2010.cfm?PK=128303
241,128400,4114,1489,2076,167,12,246,3,14,107,3193,1035,1752,132,10,196,1,8,59,1723,1654,69,Tract: 1284.00\nTotal Population: 4114,navigatela/reports/census_tracts_2010.cfm?PK=128400
242,128500,4015,688,2637,247,7,304,6,8,118,3412,527,2313,204,6,265,6,5,86,2111,1945,166,Tract: 1285.00\nTotal Population: 4015,navigatela/reports/census_tracts_2010.cfm?PK=128500
243,128601,4288,2082,1732,192,7,151,5,18,101,3271,1421,1467,158,6,127,5,12,75,1702,1609,93,Tract: 1286.01\nTotal Population: 4288,navigatela/reports/census_tracts_2010.cfm?PK=128601
244,128602,3189,562,2235,116,1,171,0,8,96,2596,423,1867,100,1,147,0,5,53,1411,1343,68,Tract: 1286.02\nTotal Population: 3189,navigatela/reports/census_tracts_2010.cfm?PK=128602
245,128702,5639,760,3951,341,16,388,8,14,161,4792,598,3431,286,13,337,6,12,109,2844,2705,139,Tract: 1287.02\nTotal Population: 5639,navigatela/reports/census_tracts_2010.cfm?PK=128702
246,128801,3307,489,2002,321,4,333,4,14,140,2882,380,1802,287,4,297,4,12,96,1964,1825,139,Tract: 1288.01\nTotal Population: 3307,navigatela/reports/census_tracts_2010.cfm?PK=128801
247,128802,4325,797,2718,264,12,380,3,14,137,3513,587,2295,221,9,304,2,14,81,2184,2016,168,Tract: 1288.02\nTotal Population: 4325,navigatela/reports/census_tracts_2010.cfm?PK=128802
248,128910,4083,581,2666,287,2,325,3,17,202,3362,451,2264,228,1,280,2,8,128,1937,1824,113,Tract: 1289.10\nTotal Population: 4083,navigatela/reports/census_tracts_2010.cfm?PK=128910
249,131010,6409,3570,1361,266,8,983,7,27,187,4724,2420,1147,204,7,793,5,9,139,2090,1966,124,Tract: 1310.10\nTotal Population: 6409,navigatela/reports/census_tracts_2010.cfm?PK=131010
250,131020,5698,3585,1215,152,4,626,4,20,92,4172,2432,1044,119,3,495,4,5,70,1613,1531,82,Tract: 1310.20\nTotal Population: 5698,navigatela/reports/census_tracts_2010.cfm?PK=131020
251,131100,3252,1387,1391,129,11,257,6,8,63,2502,968,1180,97,9,200,5,8,35,1063,1020,43,Tract: 1311.00\nTotal Population: 3252,navigatela/reports/census_tracts_2010.cfm?PK=131100
252,131200,3429,1246,1500,117,10,398,16,14,128,2696,864,1309,93,10,328,14,9,69,1229,1150,79,Tract: 1312.00\nTotal Population: 3429,navigatela/reports/census_tracts_2010.cfm?PK=131200
253,131300,4902,3059,1023,100,11,609,7,12,81,3708,2151,893,79,7,502,7,8,61,1220,1177,43,Tract: 1313.00\nTotal Population: 4902,navigatela/reports/census_tracts_2010.cfm?PK=131300
254,131400,5897,2767,1672,356,10,924,12,30,126,4494,1898,1444,273,9,744,12,20,94,1913,1833,80,Tract: 1314.00\nTotal Population: 5897,navigatela/reports/census_tracts_2010.cfm?PK=131400
255,131600,5494,2993,1587,138,9,650,2,3,112,4183,2092,1379,102,5,531,2,0,72,1500,1427,73,Tract: 1316.00\nTotal Population: 5494,navigatela/reports/census_tracts_2010.cfm?PK=131600
256,131701,4541,1728,1399,298,7,959,0,24,126,3525,1226,1237,219,5,733,0,11,94,1757,1630,127,Tract: 1317.01\nTotal Population: 4541,navigatela/reports/census_tracts_2010.cfm?PK=131701
257,131702,3751,1993,1019,197,5,473,6,4,54,2870,1396,894,154,5,377,6,0,38,1201,1146,55,Tract: 1317.02\nTotal Population: 3751,navigatela/reports/census_tracts_2010.cfm?PK=131702
258,131800,5341,3027,1267,137,16,776,4,20,94,3952,2034,1105,108,13,609,3,11,69,1643,1528,115,Tract: 1318.00\nTotal Population: 5341,navigatela/reports/census_tracts_2010.cfm?PK=131800
259,131900,4210,2046,1549,124,12,378,4,17,80,3255,1456,1314,90,8,312,4,12,59,1359,1294,65,Tract: 1319.00\nTotal Population: 4210,navigatela/reports/census_tracts_2010.cfm?PK=131900
260,132001,3202,1067,1666,108,8,243,3,19,88,2483,730,1378,88,7,211,1,14,54,1166,1111,55,Tract: 1320.01\nTotal Population: 3202,navigatela/reports/census_tracts_2010.cfm?PK=132001
261,132002,3299,1305,1566,85,11,254,0,19,59,2566,911,1315,72,9,218,0,7,34,1101,1065,36,Tract: 1320.02\nTotal Population: 3299,navigatela/reports/census_tracts_2010.cfm?PK=132002
262,132101,4259,2148,1341,282,5,357,11,13,102,3214,1473,1148,216,3,298,8,7,61,1587,1504,83,Tract: 1321.01\nTotal Population: 4259,navigatela/reports/census_tracts_2010.cfm?PK=132101
263,132102,5310,2474,1859,246,10,568,6,15,132,4109,1700,1626,207,9,469,5,9,84,2086,1957,129,Tract: 1321.02\nTotal Population: 5310,navigatela/reports/census_tracts_2010.cfm?PK=132102
264,132300,6494,3561,1666,190,22,763,4,25,263,4949,2468,1457,156,14,644,3,19,188,2399,2281,118,Tract: 1323.00\nTotal Population: 6494,navigatela/reports/census_tracts_2010.cfm?PK=132300
265,132501,3763,1798,1363,114,6,408,1,11,62,2996,1263,1254,87,6,335,1,6,44,1162,1074,88,Tract: 1325.01\nTotal Population: 3763,navigatela/reports/census_tracts_2010.cfm?PK=132501
266,132502,3672,1470,1598,126,5,345,2,10,116,2895,1075,1347,91,4,280,2,9,87,1328,1277,51,Tract: 1325.02\nTotal Population: 3672,navigatela/reports/census_tracts_2010.cfm?PK=132502
267,132700,4912,2949,1429,128,7,290,7,15,87,3637,2034,1193,93,6,242,6,7,56,1509,1461,48,Tract: 1327.00\nTotal Population: 4912,navigatela/reports/census_tracts_2010.cfm?PK=132700
268,132900,3461,766,2147,101,15,277,1,6,148,2794,545,1825,74,13,222,1,3,111,1329,1275,54,Tract: 1329.00\nTotal Population: 3461,navigatela/reports/census_tracts_2010.cfm?PK=132900
269,133000,4449,2489,1215,138,4,511,1,12,79,3344,1718,1039,104,4,414,1,8,56,1263,1199,64,Tract: 1330.00\nTotal Population: 4449,navigatela/reports/census_tracts_2010.cfm?PK=133000
270,133100,5446,1804,2748,199,9,472,7,8,199,4380,1251,2407,171,7,382,4,8,150,2116,1936,180,Tract: 1331.00\nTotal Population: 5446,navigatela/reports/census_tracts_2010.cfm?PK=133100
271,134001,3765,2840,334,101,1,442,12,6,29,2692,1976,270,76,1,341,7,3,18,955,912,43,Tract: 1340.01\nTotal Population: 3765,navigatela/reports/census_tracts_2010.cfm?PK=134001
272,134002,3372,2057,615,103,9,513,3,13,59,2542,1444,550,92,7,410,3,8,28,1045,980,65,Tract: 1340.02\nTotal Population: 3372,navigatela/reports/census_tracts_2010.cfm?PK=134002
273,134101,4922,2021,1299,179,4,1264,11,11,133,3720,1363,1130,121,4,1010,7,3,82,1479,1410,69,Tract: 1341.01\nTotal Population: 4922,navigatela/reports/census_tracts_2010.cfm?PK=134101
274,134103,4193,1760,1404,195,6,744,0,5,79,3249,1217,1230,149,6,590,0,3,54,1334,1276,58,Tract: 1341.03\nTotal Population: 4193,navigatela/reports/census_tracts_2010.cfm?PK=134103
275,134104,4322,1856,856,258,2,1216,10,28,96,3234,1275,698,210,2,960,8,10,71,1395,1244,151,Tract: 1341.04\nTotal Population: 4322,navigatela/reports/census_tracts_2010.cfm?PK=134104
276,134201,4270,2328,1180,105,4,570,5,6,72,3086,1497,999,80,4,461,2,3,40,1231,1154,77,Tract: 1342.01\nTotal Population: 4270,navigatela/reports/census_tracts_2010.cfm?PK=134201
277,134302,3732,850,2031,110,4,565,6,8,158,2934,612,1697,84,4,448,6,5,78,1267,1239,28,Tract: 1343.02\nTotal Population: 3732,navigatela/reports/census_tracts_2010.cfm?PK=134302
278,134303,5057,1786,2146,150,8,784,3,5,175,3982,1258,1854,122,8,635,3,1,101,1838,1753,85,Tract: 1343.03\nTotal Population: 5057,navigatela/reports/census_tracts_2010.cfm?PK=134303
279,134304,2882,817,1326,117,6,534,3,10,69,2289,555,1151,92,5,437,1,3,45,953,909,44,Tract: 1343.04\nTotal Population: 2882,navigatela/reports/census_tracts_2010.cfm?PK=134304
280,134305,3847,2985,329,102,1,388,0,7,35,2620,1923,281,78,1,314,0,3,20,1076,1017,59,Tract: 1343.05\nTotal Population: 3847,navigatela/reports/census_tracts_2010.cfm?PK=134305
281,134306,3498,1555,931,286,17,608,5,8,88,2635,1053,821,213,12,479,3,7,47,1244,1142,102,Tract: 1343.06\nTotal Population: 3498,navigatela/reports/census_tracts_2010.cfm?PK=134306
282,134421,3941,330,2902,67,4,465,1,13,159,2976,248,2227,49,4,364,1,8,75,1400,1372,28,Tract: 1344.21\nTotal Population: 3941,navigatela/reports/census_tracts_2010.cfm?PK=134421
283,134422,4684,748,2891,162,2,746,4,7,124,3648,544,2322,116,2,593,1,5,65,1598,1557,41,Tract: 1344.22\nTotal Population: 4684,navigatela/reports/census_tracts_2010.cfm?PK=134422
284,134423,3414,419,2301,86,4,489,2,2,111,2707,299,1882,60,4,400,2,2,58,1269,1235,34,Tract: 1344.23\nTotal Population: 3414,navigatela/reports/census_tracts_2010.cfm?PK=134423
285,134424,2887,194,2063,48,1,476,0,19,86,2208,131,1586,42,1,388,0,8,52,951,941,10,Tract: 1344.24\nTotal Population: 2887,navigatela/reports/census_tracts_2010.cfm?PK=134424
286,134520,5453,3968,795,151,10,418,3,29,79,3967,2723,696,129,10,343,2,10,54,1935,1771,164,Tract: 1345.20\nTotal Population: 5453,navigatela/reports/census_tracts_2010.cfm?PK=134520
287,134521,3126,2821,162,25,2,87,0,14,15,2133,1932,109,18,2,62,0,1,9,744,693,51,Tract: 1345.21\nTotal Population: 3126,navigatela/reports/census_tracts_2010.cfm?PK=134521
288,134522,3954,2768,613,196,6,285,19,5,62,2734,1816,516,124,5,221,7,3,42,1327,1241,86,Tract: 1345.22\nTotal Population: 3954,navigatela/reports/census_tracts_2010.cfm?PK=134522
289,134710,5287,3646,739,169,8,617,0,25,83,3719,2405,631,121,8,488,0,13,53,1606,1525,81,Tract: 1347.10\nTotal Population: 5287,navigatela/reports/census_tracts_2010.cfm?PK=134710
290,134720,4594,2066,1276,288,5,797,5,24,133,3527,1441,1130,205,5,631,5,17,93,1642,1543,99,Tract: 1347.20\nTotal Population: 4594,navigatela/reports/census_tracts_2010.cfm?PK=134720
291,134800,5949,2781,1991,219,17,764,5,10,162,4617,1970,1733,163,17,617,5,8,104,1903,1832,71,Tract: 1348.00\nTotal Population: 5949,navigatela/reports/census_tracts_2010.cfm?PK=134800
292,134901,3069,775,1799,132,7,231,1,13,111,2460,561,1517,99,6,191,1,7,78,1176,1128,48,Tract: 1349.01\nTotal Population: 3069,navigatela/reports/census_tracts_2010.cfm?PK=134901
293,134903,4216,1653,1287,354,8,756,3,22,133,3398,1213,1151,278,7,633,3,15,98,2138,1824,314,Tract: 1349.03\nTotal Population: 4216,navigatela/reports/census_tracts_2010.cfm?PK=134903
294,134904,4338,2363,1281,179,9,404,2,3,97,3250,1622,1094,128,6,328,2,1,69,1451,1363,88,Tract: 1349.04\nTotal Population: 4338,navigatela/reports/census_tracts_2010.cfm?PK=134904
295,134905,2819,355,1726,244,8,352,4,10,120,2425,289,1525,197,5,299,4,10,96,1774,1445,329,Tract: 1349.05\nTotal Population: 2819,navigatela/reports/census_tracts_2010.cfm?PK=134905
296,135102,3513,615,2260,119,8,367,6,11,127,2804,428,1899,91,7,294,3,9,73,1231,1183,48,Tract: 1351.02\nTotal Population: 3513,navigatela/reports/census_tracts_2010.cfm?PK=135102
297,135111,2967,691,1731,122,8,296,2,8,109,2352,477,1456,91,7,236,2,7,76,1184,1116,68,Tract: 1351.11\nTotal Population: 2967,navigatela/reports/census_tracts_2010.cfm?PK=135111
298,135113,2795,379,1467,263,10,523,12,18,123,2249,283,1254,187,6,405,9,12,93,1457,1288,169,Tract: 1351.13\nTotal Population: 2795,navigatela/reports/census_tracts_2010.cfm?PK=135113
299,135114,4445,563,2274,225,15,1186,1,5,176,3868,424,2130,196,9,967,1,5,136,2689,2498,191,Tract: 1351.14\nTotal Population: 4445,navigatela/reports/census_tracts_2010.cfm?PK=135114
300,135201,2620,379,1780,83,5,291,1,1,80,2017,253,1435,61,4,220,1,1,42,917,866,51,Tract: 1352.01\nTotal Population: 2620,navigatela/reports/census_tracts_2010.cfm?PK=135201
301,135202,4255,658,2854,121,9,461,3,6,143,3221,436,2253,85,9,352,3,4,79,1507,1466,41,Tract: 1352.02\nTotal Population: 4255,navigatela/reports/census_tracts_2010.cfm?PK=135202
302,135203,6273,809,4360,134,8,723,8,11,220,4851,561,3486,103,8,570,3,6,114,2198,2143,55,Tract: 1352.03\nTotal Population: 6273,navigatela/reports/census_tracts_2010.cfm?PK=135203
303,137103,4199,492,2580,242,11,668,4,12,190,3615,388,2319,200,10,543,4,10,141,2523,2136,387,Tract: 1371.03\nTotal Population: 4199,navigatela/reports/census_tracts_2010.cfm?PK=137103
304,137104,2717,246,2095,77,2,143,1,6,147,2249,177,1777,54,2,122,1,5,111,1085,1046,39,Tract: 1371.04\nTotal Population: 2717,navigatela/reports/census_tracts_2010.cfm?PK=137104
305,137201,5270,720,3372,280,9,647,8,27,207,4242,507,2830,207,3,510,8,23,154,2339,2186,153,Tract: 1372.01\nTotal Population: 5270,navigatela/reports/census_tracts_2010.cfm?PK=137201
306,137301,2264,170,1788,62,9,178,1,5,51,1772,130,1417,50,6,140,1,3,25,807,776,31,Tract: 1373.01\nTotal Population: 2264,navigatela/reports/census_tracts_2010.cfm?PK=137301
307,137302,4338,336,3404,78,1,330,9,7,173,3478,220,2811,61,0,272,7,3,104,1606,1560,46,Tract: 1373.02\nTotal Population: 4338,navigatela/reports/census_tracts_2010.cfm?PK=137302
308,137401,4157,411,3210,112,7,225,3,11,178,3210,283,2534,92,4,180,3,5,109,1707,1624,83,Tract: 1374.01\nTotal Population: 4157,navigatela/reports/census_tracts_2010.cfm?PK=137401
309,137402,5364,414,4096,250,6,329,1,16,252,4309,289,3374,190,6,266,1,6,177,2151,2063,88,Tract: 1374.02\nTotal Population: 5364,navigatela/reports/census_tracts_2010.cfm?PK=137402
310,137501,4124,535,2789,218,3,360,1,6,212,3328,401,2300,174,1,301,1,5,145,1820,1728,92,Tract: 1375.01\nTotal Population: 4124,navigatela/reports/census_tracts_2010.cfm?PK=137501
311,137502,4202,417,3162,175,9,236,3,11,189,3424,303,2661,124,9,197,3,8,119,2023,1853,170,Tract: 1375.02\nTotal Population: 4202,navigatela/reports/census_tracts_2010.cfm?PK=137502
312,137504,1939,83,1610,58,0,94,0,5,89,1539,56,1314,41,0,78,0,2,48,724,701,23,Tract: 1375.04\nTotal Population: 1939,navigatela/reports/census_tracts_2010.cfm?PK=137504
313,138000,4484,350,3604,106,8,253,7,13,143,3626,262,2954,78,8,215,6,10,93,1879,1809,70,Tract: 1380.00\nTotal Population: 4484,navigatela/reports/census_tracts_2010.cfm?PK=138000
314,139001,4767,851,3149,217,11,310,10,6,213,3851,641,2633,172,10,268,5,6,116,2185,2032,153,Tract: 1390.01\nTotal Population: 4767,navigatela/reports/census_tracts_2010.cfm?PK=139001
315,139200,5175,912,3393,237,3,381,7,16,226,4205,676,2848,187,2,309,6,11,166,2433,2227,206,Tract: 1392.00\nTotal Population: 5175,navigatela/reports/census_tracts_2010.cfm?PK=139200
316,139301,4462,426,3397,160,6,296,10,2,165,3531,309,2746,112,6,243,5,2,108,1712,1610,102,Tract: 1393.01\nTotal Population: 4462,navigatela/reports/census_tracts_2010.cfm?PK=139301
317,139302,4422,1197,2185,409,13,408,10,11,189,3589,856,1924,313,13,327,7,5,144,2079,1945,134,Tract: 1393.02\nTotal Population: 4422,navigatela/reports/census_tracts_2010.cfm?PK=139302
318,139303,4186,1120,2251,271,15,302,3,28,196,3415,791,1967,223,14,264,2,20,134,2011,1883,128,Tract: 1393.03\nTotal Population: 4186,navigatela/reports/census_tracts_2010.cfm?PK=139303
319,139401,2645,582,1586,129,12,181,9,11,135,2132,446,1310,99,9,151,8,7,102,1308,1183,125,Tract: 1394.01\nTotal Population: 2645,navigatela/reports/census_tracts_2010.cfm?PK=139401
320,139402,2851,148,2413,38,5,120,0,7,120,2122,100,1808,32,5,95,0,5,77,983,941,42,Tract: 1394.02\nTotal Population: 2851,navigatela/reports/census_tracts_2010.cfm?PK=139402
321,139502,3007,259,2325,46,0,152,6,8,211,2395,196,1880,42,0,124,4,4,145,1247,1192,55,Tract: 1395.02\nTotal Population: 3007,navigatela/reports/census_tracts_2010.cfm?PK=139502
322,139503,4657,537,3420,173,4,259,2,19,243,4071,426,3041,149,4,231,2,14,204,2617,2436,181,Tract: 1395.03\nTotal Population: 4657,navigatela/reports/census_tracts_2010.cfm?PK=139503
323,139504,3476,343,2653,125,3,147,3,4,198,3037,257,2369,113,2,122,3,3,168,1854,1737,117,Tract: 1395.04\nTotal Population: 3476,navigatela/reports/census_tracts_2010.cfm?PK=139504
324,139600,4633,393,3594,170,7,294,6,1,168,3896,315,3051,140,4,260,4,1,121,2273,2121,152,Tract: 1396.00\nTotal Population: 4633,navigatela/reports/census_tracts_2010.cfm?PK=139600
325,139701,4920,319,4091,91,3,287,3,8,118,3855,235,3251,68,3,226,3,5,64,2016,1919,97,Tract: 1397.01\nTotal Population: 4920,navigatela/reports/census_tracts_2010.cfm?PK=139701
326,139702,6250,272,5361,83,6,275,5,10,238,4817,201,4150,62,4,230,5,6,159,2381,2314,67,Tract: 1397.02\nTotal Population: 6250,navigatela/reports/census_tracts_2010.cfm?PK=139702
327,139703,2943,129,2477,49,0,148,3,3,134,2273,104,1925,31,0,121,2,3,87,1028,990,38,Tract: 1397.03\nTotal Population: 2943,navigatela/reports/census_tracts_2010.cfm?PK=139703
328,139801,3539,126,3099,45,1,147,2,2,117,2735,89,2407,33,1,126,2,1,76,1330,1270,60,Tract: 1398.01\nTotal Population: 3539,navigatela/reports/census_tracts_2010.cfm?PK=139801
329,139802,3865,178,3225,85,0,231,0,2,144,3014,131,2555,61,0,190,0,0,77,1405,1372,33,Tract: 1398.02\nTotal Population: 3865,navigatela/reports/census_tracts_2010.cfm?PK=139802
330,141101,4066,490,2891,197,11,300,7,13,157,3489,392,2556,169,10,253,6,13,90,2418,2248,170,Tract: 1411.01\nTotal Population: 4066,navigatela/reports/census_tracts_2010.cfm?PK=141101
331,141102,2869,325,2135,142,3,169,0,17,78,2367,250,1791,114,3,146,0,15,48,1450,1368,82,Tract: 1411.02\nTotal Population: 2869,navigatela/reports/census_tracts_2010.cfm?PK=141102
332,141201,3707,593,2497,249,3,237,3,4,121,3120,464,2160,209,3,200,3,4,77,2024,1892,132,Tract: 1412.01\nTotal Population: 3707,navigatela/reports/census_tracts_2010.cfm?PK=141201
333,141202,2800,253,2181,107,0,144,2,11,102,2334,205,1833,89,0,132,1,10,64,1504,1413,91,Tract: 1412.02\nTotal Population: 2800,navigatela/reports/census_tracts_2010.cfm?PK=141202
334,141302,5504,646,3880,302,8,457,6,17,188,4764,538,3400,263,7,406,5,13,132,3080,2897,183,Tract: 1413.02\nTotal Population: 5504,navigatela/reports/census_tracts_2010.cfm?PK=141302
335,141303,3089,411,2161,172,3,237,0,11,94,2735,327,1960,148,3,217,0,9,71,1784,1680,104,Tract: 1413.03\nTotal Population: 3089,navigatela/reports/census_tracts_2010.cfm?PK=141303
336,141304,2738,236,2100,112,4,170,8,8,100,2303,186,1798,96,4,146,1,6,66,1525,1422,103,Tract: 1413.04\nTotal Population: 2738,navigatela/reports/census_tracts_2010.cfm?PK=141304
337,141400,4412,411,3459,148,3,253,4,15,119,3599,313,2853,115,3,214,4,11,86,2078,1948,130,Tract: 1414.00\nTotal Population: 4412,navigatela/reports/census_tracts_2010.cfm?PK=141400
338,141500,2984,160,2520,42,0,163,1,16,82,2342,129,1990,32,0,134,1,11,45,1166,1128,38,Tract: 1415.00\nTotal Population: 2984,navigatela/reports/census_tracts_2010.cfm?PK=141500
339,141600,4029,219,3379,88,2,231,0,3,107,3236,170,2725,68,2,203,0,3,65,1745,1673,72,Tract: 1416.00\nTotal Population: 4029,navigatela/reports/census_tracts_2010.cfm?PK=141600
340,141700,3091,156,2573,72,1,176,2,12,99,2452,112,2080,59,1,148,2,10,40,1343,1269,74,Tract: 1417.00\nTotal Population: 3091,navigatela/reports/census_tracts_2010.cfm?PK=141700
341,143100,3984,490,2988,168,8,225,3,6,96,3473,390,2648,143,8,207,3,4,70,2277,2093,184,Tract: 1431.00\nTotal Population: 3984,navigatela/reports/census_tracts_2010.cfm?PK=143100
342,143200,3743,705,2285,294,9,301,2,9,138,3251,560,2062,246,9,265,2,7,100,2141,1986,155,Tract: 1432.00\nTotal Population: 3743,navigatela/reports/census_tracts_2010.cfm?PK=143200
343,143300,5871,927,4117,256,9,356,0,14,192,4905,695,3548,219,9,296,0,11,127,3128,2953,175,Tract: 1433.00\nTotal Population: 5871,navigatela/reports/census_tracts_2010.cfm?PK=143300
344,143400,5881,596,4533,220,8,306,1,38,179,4937,477,3850,191,5,273,1,26,114,3181,2935,246,Tract: 1434.00\nTotal Population: 5881,navigatela/reports/census_tracts_2010.cfm?PK=143400
345,143500,4708,383,3723,164,10,281,3,10,134,3876,318,3099,127,7,229,3,8,85,2388,2238,150,Tract: 1435.00\nTotal Population: 4708,navigatela/reports/census_tracts_2010.cfm?PK=143500
346,143602,4260,348,3291,173,12,300,3,11,122,3595,291,2804,152,11,251,3,8,75,2137,2045,92,Tract: 1436.02\nTotal Population: 4260,navigatela/reports/census_tracts_2010.cfm?PK=143602
347,143603,2222,277,1593,108,6,157,0,13,68,1982,227,1457,96,6,138,0,10,48,1310,1244,66,Tract: 1436.03\nTotal Population: 2222,navigatela/reports/census_tracts_2010.cfm?PK=143603
348,143604,3205,413,1964,294,12,372,8,5,137,2991,368,1871,270,10,342,5,5,120,2313,2006,307,Tract: 1436.04\nTotal Population: 3205,navigatela/reports/census_tracts_2010.cfm?PK=143604
349,143700,3748,265,2927,156,4,264,2,19,111,3287,212,2614,125,4,240,1,15,76,2085,1903,182,Tract: 1437.00\nTotal Population: 3748,navigatela/reports/census_tracts_2010.cfm?PK=143700
350,143800,4878,355,3856,181,5,311,3,7,160,4089,271,3284,158,5,266,2,4,99,2507,2341,166,Tract: 1438.00\nTotal Population: 4878,navigatela/reports/census_tracts_2010.cfm?PK=143800
351,143901,4068,244,3375,66,2,234,5,13,129,3190,177,2687,54,1,190,2,7,72,1741,1647,94,Tract: 1439.01\nTotal Population: 4068,navigatela/reports/census_tracts_2010.cfm?PK=143901
352,143902,3000,218,2438,97,5,158,0,8,76,2460,172,2013,85,5,132,0,6,47,1453,1390,63,Tract: 1439.02\nTotal Population: 3000,navigatela/reports/census_tracts_2010.cfm?PK=143902
353,181000,6144,1695,2565,93,20,1583,6,13,169,5010,1258,2208,79,15,1336,6,8,100,2315,2216,99,Tract: 1810.00\nTotal Population: 6144,navigatela/reports/census_tracts_2010.cfm?PK=181000
354,181300,3629,1209,1146,80,6,1085,4,5,94,2944,881,1021,58,6,922,4,2,50,1399,1340,59,Tract: 1813.00\nTotal Population: 3629,navigatela/reports/census_tracts_2010.cfm?PK=181300
355,181400,4302,1536,1262,100,7,1278,1,10,108,3502,1154,1150,80,5,1027,1,8,77,1760,1666,94,Tract: 1814.00\nTotal Population: 4302,navigatela/reports/census_tracts_2010.cfm?PK=181400
356,181500,3812,1607,1198,53,17,812,3,6,116,3060,1223,1022,47,13,680,3,5,67,1393,1342,51,Tract: 1815.00\nTotal Population: 3812,navigatela/reports/census_tracts_2010.cfm?PK=181500
357,181600,4352,1591,1582,87,16,880,7,10,179,3707,1189,1507,86,16,743,7,9,150,1043,993,50,Tract: 1816.00\nTotal Population: 4352,navigatela/reports/census_tracts_2010.cfm?PK=181600
358,183101,3922,2607,817,71,17,329,4,10,67,3021,1886,720,52,13,299,3,8,40,1336,1280,56,Tract: 1831.01\nTotal Population: 3922,navigatela/reports/census_tracts_2010.cfm?PK=183101
359,183103,3967,2897,452,112,20,408,2,13,63,2986,2072,397,94,11,355,2,8,47,1432,1350,82,Tract: 1831.03\nTotal Population: 3967,navigatela/reports/census_tracts_2010.cfm?PK=183103
